单词		词频		占比
中非		66		5.2215189873417724%
合作		43		3.401898734177215%
非洲		33		2.6107594936708862%
发展		22		1.740506329113924%
论坛		21		1.661392405063291%
关系		19		1.5031645569620253%
国际		17		1.3449367088607596%
中国		12		0.949367088607595%
新		12		0.949367088607595%
习近平		9		0.7120253164556962%
中方		9		0.7120253164556962%
支持		9		0.7120253164556962%
20年		8		0.6329113924050633%
和平		8		0.6329113924050633%
伙伴		8		0.6329113924050633%
非		8		0.6329113924050633%
始终		8		0.6329113924050633%
命运		7		0.5537974683544303%
主席		7		0.5537974683544303%
疫情		7		0.5537974683544303%
推动		6		0.4746835443037975%
团结		6		0.4746835443037975%
抗疫		6		0.4746835443037975%
国家		6		0.4746835443037975%
社会		6		0.4746835443037975%
交流		6		0.4746835443037975%
中		6		0.4746835443037975%
外交		5		0.39556962025316456%
友好		5		0.39556962025316456%
政治		5		0.39556962025316456%
战略		5		0.39556962025316456%
经济		5		0.39556962025316456%
峰会		5		0.39556962025316456%
利益		5		0.39556962025316456%
世界		5		0.39556962025316456%
成立		4		0.31645569620253167%
非方		4		0.31645569620253167%
共赢		4		0.31645569620253167%
务实		4		0.31645569620253167%
历史		4		0.31645569620253167%
引领		4		0.31645569620253167%
深化		4		0.31645569620253167%
成果		4		0.31645569620253167%
构建		4		0.31645569620253167%
共同体		4		0.31645569620253167%
双边		4		0.31645569620253167%
相互		4		0.31645569620253167%
坚定		4		0.31645569620253167%
原则		4		0.31645569620253167%
发展中国家		4		0.31645569620253167%
提升		4		0.31645569620253167%
越		4		0.31645569620253167%
时代		3		0.23734177215189875%
机制		3		0.23734177215189875%
阶段		3		0.23734177215189875%
投资		3		0.23734177215189875%
中心		3		0.23734177215189875%
铁路		3		0.23734177215189875%
项目		3		0.23734177215189875%
交往		3		0.23734177215189875%
基础		3		0.23734177215189875%
大陆		3		0.23734177215189875%
北京		3		0.23734177215189875%
抗击		3		0.23734177215189875%
冠肺		3		0.23734177215189875%
势头		3		0.23734177215189875%
计划		3		0.23734177215189875%
阻挡		3		0.23734177215189875%
成功		3		0.23734177215189875%
带来		3		0.23734177215189875%
变化		3		0.23734177215189875%
提供		3		0.23734177215189875%
核心		3		0.23734177215189875%
携手		3		0.23734177215189875%
多边主义		3		0.23734177215189875%
维护		3		0.23734177215189875%
项		3		0.23734177215189875%
发挥		3		0.23734177215189875%
全球		3		0.23734177215189875%
开放		3		0.23734177215189875%
事业		3		0.23734177215189875%
增强		3		0.23734177215189875%
建设		3		0.23734177215189875%
与共		2		0.15822784810126583%
2020年		2		0.15822784810126583%
10月		2		0.15822784810126583%
兄弟		2		0.15822784810126583%
顺应		2		0.15822784810126583%
大家庭		2		0.15822784810126583%
高层		2		0.15822784810126583%
持续		2		0.15822784810126583%
新型		2		0.15822784810126583%
美元		2		0.15822784810126583%
2000年		2		0.15822784810126583%
增长		2		0.15822784810126583%
连续		2		0.15822784810126583%
第一		2		0.15822784810126583%
贸易		2		0.15822784810126583%
非盟		2		0.15822784810126583%
一大		2		0.15822784810126583%
批		2		0.15822784810126583%
领域		2		0.15822784810126583%
重视		2		0.15822784810126583%
真实		2		0.15822784810126583%
亲诚		2		0.15822784810126583%
理念		2		0.15822784810126583%
正确		2		0.15822784810126583%
义利观		2		0.15822784810126583%
次		2		0.15822784810126583%
2018年		2		0.15822784810126583%
领导人		2		0.15822784810126583%
两		2		0.15822784810126583%
炎		2		0.15822784810126583%
关键		2		0.15822784810126583%
特别		2		0.15822784810126583%
活动		2		0.15822784810126583%
空前		2		0.15822784810126583%
加速		2		0.15822784810126583%
政府		2		0.15822784810126583%
转型		2		0.15822784810126583%
升级		2		0.15822784810126583%
实施		2		0.15822784810126583%
推向		2		0.15822784810126583%
共建		2		0.15822784810126583%
一带		2		0.15822784810126583%
一路		2		0.15822784810126583%
互鉴		2		0.15822784810126583%
约		2		0.15822784810126583%
国		2		0.15822784810126583%
孔子		2		0.15822784810126583%
派遣		2		0.15822784810126583%
人次		2		0.15822784810126583%
友谊		2		0.15822784810126583%
埃博拉		2		0.15822784810126583%
涉及		2		0.15822784810126583%
关切		2		0.15822784810126583%
体系		2		0.15822784810126583%
共处		2		0.15822784810126583%
考验		2		0.15822784810126583%
落实		2		0.15822784810126583%
思想		2		0.15822784810126583%
开拓		2		0.15822784810126583%
创新		2		0.15822784810126583%
作兴		2		0.15822784810126583%
倾听		2		0.15822784810126583%
正义		2		0.15822784810126583%
南南合作		2		0.15822784810126583%
商量		2		0.15822784810126583%
这是		2		0.15822784810126583%
符合		2		0.15822784810126583%
道路		2		0.15822784810126583%
援助		2		0.15822784810126583%
条件		2		0.15822784810126583%
作用		2		0.15822784810126583%
成员		2		0.15822784810126583%
处于		2		0.15822784810126583%
振兴		2		0.15822784810126583%
指出		2		0.15822784810126583%
强		2		0.15822784810126583%
注重		2		0.15822784810126583%
形势		2		0.15822784810126583%
朋友		2		0.15822784810126583%
守望		2		0.15822784810126583%
相助		2		0.15822784810126583%
患难之交		2		0.15822784810126583%
金融		2		0.15822784810126583%
加大		2		0.15822784810126583%
决心		2		0.15822784810126583%
包容		2		0.15822784810126583%
践行		2		0.15822784810126583%
应		2		0.15822784810126583%
秉持		2		0.15822784810126583%
做		2		0.15822784810126583%
能力		2		0.15822784810126583%
创造		2		0.15822784810126583%
参与		2		0.15822784810126583%
变局		2		0.15822784810126583%
演进		2		0.15822784810126583%
力量		2		0.15822784810126583%
贡献		2		0.15822784810126583%
非要		2		0.15822784810126583%
