单词		词频		占比
发展		149		2.3729893295110687%
建设		84		1.3377926421404682%
经济		65		1.0351966873706004%
推进		62		0.9874183787227266%
社会		49		0.7803790412486065%
企业		49		0.7803790412486065%
改革		46		0.7326007326007326%
创新		44		0.7007485268354834%
新		43		0.6848224239528587%
实施		43		0.6848224239528587%
服务		43		0.6848224239528587%
市场		42		0.6688963210702341%
政策		41		0.6529702181876095%
完善		41		0.6529702181876095%
体系		41		0.6529702181876095%
支持		38		0.6051919095397356%
推动		38		0.6051919095397356%
机制		33		0.5255613951266125%
保障		32		0.5096352922439878%
国家		32		0.5096352922439878%
工作		30		0.4777830864787387%
就业		30		0.4777830864787387%
加快		30		0.4777830864787387%
提高		30		0.4777830864787387%
中国		29		0.461856983596114%
稳定		28		0.4459308807134894%
提升		27		0.43000477783086477%
质量		26		0.4140786749482402%
主体		25		0.3981525720656155%
能力		25		0.3981525720656155%
健全		24		0.3822264691829909%
基础		24		0.3822264691829909%
战略		23		0.3663003663003663%
持续		23		0.3663003663003663%
制度		23		0.3663003663003663%
科技		23		0.3663003663003663%
教育		23		0.3663003663003663%
高		23		0.3663003663003663%
增长		22		0.3503742634177417%
生产		22		0.3503742634177417%
水平		22		0.3503742634177417%
深化		22		0.3503742634177417%
产业		21		0.33444816053511706%
目标		20		0.3185220576524925%
优化		20		0.3185220576524925%
保护		19		0.3025959547698678%
强化		19		0.3025959547698678%
政府		18		0.2866698518872432%
年		18		0.2866698518872432%
加大		18		0.2866698518872432%
力度		18		0.2866698518872432%
金融		18		0.2866698518872432%
区域		18		0.2866698518872432%
落实		17		0.27074374900461856%
农村		17		0.27074374900461856%
环境		17		0.27074374900461856%
疫情		16		0.2548176461219939%
防控		16		0.2548176461219939%
成果		16		0.2548176461219939%
开放		16		0.2548176461219939%
生活		16		0.2548176461219939%
消费		16		0.2548176461219939%
生态		16		0.2548176461219939%
工程		16		0.2548176461219939%
国际		16		0.2548176461219939%
公共		16		0.2548176461219939%
文化		16		0.2548176461219939%
地区		15		0.23889154323936934%
降低		15		0.23889154323936934%
领域		15		0.23889154323936934%
投资		15		0.23889154323936934%
监管		15		0.23889154323936934%
现代化		14		0.2229654403567447%
健康		14		0.2229654403567447%
元		14		0.2229654403567447%
国内		14		0.2229654403567447%
人口		14		0.2229654403567447%
治理		14		0.2229654403567447%
核心		13		0.2070393374741201%
脱贫		13		0.2070393374741201%
增加		13		0.2070393374741201%
做好		13		0.2070393374741201%
城镇		13		0.2070393374741201%
农业		13		0.2070393374741201%
卫生		13		0.2070393374741201%
精神		13		0.2070393374741201%
构建		13		0.2070393374741201%
全国		12		0.19111323459149546%
中		12		0.19111323459149546%
努力		12		0.19111323459149546%
中央		12		0.19111323459149546%
民生		12		0.19111323459149546%
收入		12		0.19111323459149546%
进一步		12		0.19111323459149546%
合作		12		0.19111323459149546%
改善		12		0.19111323459149546%
统筹		11		0.17518713170887085%
财政		11		0.17518713170887085%
资金		11		0.17518713170887085%
风险		11		0.17518713170887085%
粮食		11		0.17518713170887085%
综合		11		0.17518713170887085%
发挥		11		0.17518713170887085%
设施		11		0.17518713170887085%
代表		10		0.15926102882624624%
科学		10		0.15926102882624624%
贷款		10		0.15926102882624624%
增强		10		0.15926102882624624%
体制		10		0.15926102882624624%
关系		10		0.15926102882624624%
乡村		10		0.15926102882624624%
城乡		10		0.15926102882624624%
作用		10		0.15926102882624624%
我国		9		0.1433349259436216%
恢复		9		0.1433349259436216%
建立		9		0.1433349259436216%
小微		9		0.1433349259436216%
重点		9		0.1433349259436216%
居民		9		0.1433349259436216%
群众		9		0.1433349259436216%
扎实		9		0.1433349259436216%
贸易		9		0.1433349259436216%
维护		9		0.1433349259436216%
新型		9		0.1433349259436216%
能源		9		0.1433349259436216%
民族		9		0.1433349259436216%
住房		9		0.1433349259436216%
融合		9		0.1433349259436216%
规范		9		0.1433349259436216%
试点		9		0.1433349259436216%
世界		8		0.12740882306099696%
制定		8		0.12740882306099696%
活力		8		0.12740882306099696%
困难		8		0.12740882306099696%
贫困		8		0.12740882306099696%
帮扶		8		0.12740882306099696%
处置		8		0.12740882306099696%
市场化		8		0.12740882306099696%
稳步		8		0.12740882306099696%
利用		8		0.12740882306099696%
关键		8		0.12740882306099696%
技术		8		0.12740882306099696%
标准		8		0.12740882306099696%
监督		8		0.12740882306099696%
公平		8		0.12740882306099696%
数字		8		0.12740882306099696%
拓展		8		0.12740882306099696%
职业		8		0.12740882306099696%
项目		8		0.12740882306099696%
全球		7		0.11148272017837235%
宏观		7		0.11148272017837235%
中小微		7		0.11148272017837235%
基层		7		0.11148272017837235%
系统		7		0.11148272017837235%
实体		7		0.11148272017837235%
预期		7		0.11148272017837235%
总值		7		0.11148272017837235%
网络		7		0.11148272017837235%
污染		7		0.11148272017837235%
产权		7		0.11148272017837235%
资本		7		0.11148272017837235%
振兴		7		0.11148272017837235%
整治		7		0.11148272017837235%
依法		7		0.11148272017837235%
人员		7		0.11148272017837235%
养老		7		0.11148272017837235%
防范		7		0.11148272017837235%
专项		7		0.11148272017837235%
特色		7		0.11148272017837235%
挑战		7		0.11148272017837235%
力量		7		0.11148272017837235%
思想		7		0.11148272017837235%
解决		7		0.11148272017837235%
引导		7		0.11148272017837235%
协同		7		0.11148272017837235%
确保		7		0.11148272017837235%
各类		7		0.11148272017837235%
产品		7		0.11148272017837235%
党中央		6		0.09555661729574773%
成就		6		0.09555661729574773%
常态化		6		0.09555661729574773%
条件		6		0.09555661729574773%
稳		6		0.09555661729574773%
安排		6		0.09555661729574773%
超过		6		0.09555661729574773%
银行		6		0.09555661729574773%
优先		6		0.09555661729574773%
切实		6		0.09555661729574773%
投入		6		0.09555661729574773%
一批		6		0.09555661729574773%
放		6		0.09555661729574773%
事业		6		0.09555661729574773%
协定		6		0.09555661729574773%
中心		6		0.09555661729574773%
推广		6		0.09555661729574773%
改造		6		0.09555661729574773%
贯彻		6		0.09555661729574773%
特别		6		0.09555661729574773%
应对		6		0.09555661729574773%
地方		6		0.09555661729574773%
运行		6		0.09555661729574773%
资源		6		0.09555661729574773%
供给		6		0.09555661729574773%
残疾人		6		0.09555661729574773%
医疗		6		0.09555661729574773%
繁荣		6		0.09555661729574773%
国防		6		0.09555661729574773%
制造业		6		0.09555661729574773%
壮大		6		0.09555661729574773%
布局		6		0.09555661729574773%
鼓励		6		0.09555661729574773%
国有		6		0.09555661729574773%
绿色		6		0.09555661729574773%
弘扬		6		0.09555661729574773%
有序		6		0.09555661729574773%
支出		6		0.09555661729574773%
优惠		6		0.09555661729574773%
融资		6		0.09555661729574773%
准入		6		0.09555661729574773%
分类		6		0.09555661729574773%
国务院		5		0.07963051441312312%
冲击		5		0.07963051441312312%
同志		5		0.07963051441312312%
抗疫		5		0.07963051441312312%
习近平		5		0.07963051441312312%
变化		5		0.07963051441312312%
调整		5		0.07963051441312312%
创造		5		0.07963051441312312%
贯彻党		5		0.07963051441312312%
办法		5		0.07963051441312312%
激发		5		0.07963051441312312%
受		5		0.07963051441312312%
个体		5		0.07963051441312312%
阶段性		5		0.07963051441312312%
减税		5		0.07963051441312312%
方式		5		0.07963051441312312%
新增		5		0.07963051441312312%
普惠		5		0.07963051441312312%
调控		5		0.07963051441312312%
激励		5		0.07963051441312312%
群体		5		0.07963051441312312%
创业		5		0.07963051441312312%
失业		5		0.07963051441312312%
救助		5		0.07963051441312312%
纳入		5		0.07963051441312312%
精准		5		0.07963051441312312%
要素		5		0.07963051441312312%
共建		5		0.07963051441312312%
外资		5		0.07963051441312312%
转型		5		0.07963051441312312%
城镇化		5		0.07963051441312312%
格局		5		0.07963051441312312%
协调		5		0.07963051441312312%
和谐		5		0.07963051441312312%
法律		5		0.07963051441312312%
领导人		5		0.07963051441312312%
和平		5		0.07963051441312312%
时代		5		0.07963051441312312%
全		5		0.07963051441312312%
奋斗		5		0.07963051441312312%
时期		5		0.07963051441312312%
十四五		5		0.07963051441312312%
结构		5		0.07963051441312312%
对外		5		0.07963051441312312%
军队		5		0.07963051441312312%
规划		5		0.07963051441312312%
中华		5		0.07963051441312312%
理念		5		0.07963051441312312%
着力		5		0.07963051441312312%
区间		5		0.07963051441312312%
人才		5		0.07963051441312312%
研发		5		0.07963051441312312%
服务业		5		0.07963051441312312%
内需		5		0.07963051441312312%
需求		5		0.07963051441312312%
培育		5		0.07963051441312312%
高标准		5		0.07963051441312312%
经营		5		0.07963051441312312%
技能		5		0.07963051441312312%
培训		5		0.07963051441312312%
管理		5		0.07963051441312312%
