单词		词频		占比
，		82		6.441476826394343%
非洲		65		5.106048703849176%

		59		4.634721131186175%
的		56		4.399057344854674%
。		52		4.08483896307934%
、		25		1.9638648860958365%
国家		21		1.6496465043205029%
和		20		1.5710919088766693%
发展		18		1.4139827179890023%
在		16		1.2568735271013356%
是		14		1.0997643362136684%
中国		13		1.021209740769835%
支持		12		0.9426551453260016%
“		12		0.9426551453260016%
和平		12		0.9426551453260016%
”		12		0.9426551453260016%
联合国		9		0.7069913589945012%
国际		9		0.7069913589945012%
要		9		0.7069913589945012%
合作		9		0.7069913589945012%
与		8		0.6284367635506678%
疫情		8		0.6284367635506678%
对		7		0.5498821681068342%
为		7		0.5498821681068342%
抗疫		6		0.4713275726630008%
个		6		0.4713275726630008%
不		5		0.3927729772191673%
倡议		5		0.3927729772191673%
社会		5		0.3927729772191673%
等		5		0.3927729772191673%
我们		5		0.3927729772191673%
好		5		0.3927729772191673%
伙伴		5		0.3927729772191673%
平等		5		0.3927729772191673%
——		4		0.3142183817753339%
冲突		4		0.3142183817753339%
非盟		4		0.3142183817753339%
有		4		0.3142183817753339%
助力		4		0.3142183817753339%
重要		4		0.3142183817753339%
更		4		0.3142183817753339%
帮助		4		0.3142183817753339%
能力		4		0.3142183817753339%
作用		4		0.3142183817753339%
积极		4		0.3142183817753339%
中非		4		0.3142183817753339%
真正		3		0.2356637863315004%
多边主义		3		0.2356637863315004%
合力		3		0.2356637863315004%
安全		3		0.2356637863315004%
疫后		3		0.2356637863315004%
重建		3		0.2356637863315004%
消除		3		0.2356637863315004%
根源		3		0.2356637863315004%
各位		3		0.2356637863315004%
同事		3		0.2356637863315004%
正在		3		0.2356637863315004%
没有		3		0.2356637863315004%
应该		3		0.2356637863315004%
技术		3		0.2356637863315004%
多		3		0.2356637863315004%
疫苗		3		0.2356637863315004%
向		3		0.2356637863315004%
提供		3		0.2356637863315004%
从		3		0.2356637863315004%
加强		3		0.2356637863315004%
建设		3		0.2356637863315004%
人类		3		0.2356637863315004%
发挥		3		0.2356637863315004%
协调		3		0.2356637863315004%
解决		3		0.2356637863315004%
维和		3		0.2356637863315004%
行动		3		0.2356637863315004%
自主		3		0.2356637863315004%
应		3		0.2356637863315004%
会		3		0.2356637863315004%
始终		3		0.2356637863315004%
共同		3		0.2356637863315004%
缓债		3		0.2356637863315004%
尊重		3		0.2356637863315004%
践行		2		0.15710919088766695%
汇聚		2		0.15710919088766695%
强大		2		0.15710919088766695%
安理会		2		0.15710919088766695%
：		2		0.15710919088766695%
推进		2		0.15710919088766695%
公开		2		0.15710919088766695%
辩论会		2		0.15710919088766695%
人民		2		0.15710919088766695%
秘书长		2		0.15710919088766695%
计划		2		0.15710919088766695%
世界		2		0.15710919088766695%
最		2		0.15710919088766695%
大		2		0.15710919088766695%
成为		2		0.15710919088766695%
也		2		0.15710919088766695%
重视		2		0.15710919088766695%
共识		2		0.15710919088766695%
携手		2		0.15710919088766695%
战胜		2		0.15710919088766695%
可持续		2		0.15710919088766695%
为此		2		0.15710919088766695%
愿		2		0.15710919088766695%
第一		2		0.15710919088766695%
全球		2		0.15710919088766695%
防疫		2		0.15710919088766695%
物资		2		0.15710919088766695%
方面		2		0.15710919088766695%
援助		2		0.15710919088766695%
转让		2		0.15710919088766695%
方式		2		0.15710919088766695%
可		2		0.15710919088766695%
呼吁		2		0.15710919088766695%
紧急		2		0.15710919088766695%
卫生		2		0.15710919088766695%
构建		2		0.15710919088766695%
共同体		2		0.15710919088766695%
动荡		2		0.15710919088766695%
让		2		0.15710919088766695%
继续		2		0.15710919088766695%
问题		2		0.15710919088766695%
