单词		词频		占比
，		837		6.697071531445031%

		606		4.84877580412866%
。		596		4.768763002080332%
、		394		3.1525044007041125%
的		193		1.5442470795327252%
和		190		1.520243238918227%
发展		148		1.1841894703152505%
改革		102		0.8161305808929429%
推进		75		0.6000960153624579%
经济		75		0.6000960153624579%
“		74		0.5920947351576252%
”		74		0.5920947351576252%
要		71		0.5680908945431269%
等		69		0.5520883341334614%
全面		58		0.4640742518803008%
加强		58		0.4640742518803008%
建设		54		0.4320691310609697%
新		54		0.4320691310609697%
创新		52		0.41606657065130415%
社会		51		0.40806529044647144%
企业		47		0.37606016962714034%
工作		43		0.34405504880780924%
为		42		0.3360537686029765%
中国		40		0.3200512081933109%
制度		39		0.3120499279884782%
在		38		0.3040486477836454%
提高		38		0.3040486477836454%
政策		38		0.3040486477836454%
人民		37		0.2960473675788126%
政府		36		0.28804608737397985%
服务		36		0.28804608737397985%
教育		36		0.28804608737397985%
坚持		36		0.28804608737397985%
完善		36		0.28804608737397985%
实施		35		0.28004480716914704%
增长		35		0.28004480716914704%
对		34		0.27204352696431433%
年		32		0.25604096655464875%
一		32		0.25604096655464875%
加快		32		0.25604096655464875%
不		31		0.248039686349816%
基本		31		0.248039686349816%
推动		31		0.248039686349816%
支持		31		0.248039686349816%
市场		29		0.2320371259401504%
财政		28		0.22403584573531765%
深化		28		0.22403584573531765%
五		27		0.21603456553048486%
重大		27		0.21603456553048486%
地区		27		0.21603456553048486%
促进		27		0.21603456553048486%
是		26		0.20803328532565207%
增加		26		0.20803328532565207%
更		26		0.20803328532565207%
以		26		0.20803328532565207%
投资		26		0.20803328532565207%
大		25		0.20003200512081934%
了		25		0.20003200512081934%
元		25		0.20003200512081934%
实现		24		0.19203072491598655%
国家		24		0.19203072491598655%
开放		23		0.1840294447111538%
结构		23		0.1840294447111538%
继续		23		0.1840294447111538%
就业		22		0.17602816450632103%
质量		22		0.17602816450632103%
金融		22		0.17602816450632103%
中央		22		0.17602816450632103%
我国		21		0.16802688430148824%
深入		21		0.16802688430148824%
世界		21		0.16802688430148824%
农村		21		0.16802688430148824%
我们		21		0.16802688430148824%
扩大		21		0.16802688430148824%
机制		21		0.16802688430148824%
群众		21		0.16802688430148824%
到		20		0.16002560409665545%
.		20		0.16002560409665545%
优化		20		0.16002560409665545%
重点		20		0.16002560409665545%
（		20		0.16002560409665545%
）		20		0.16002560409665545%
国际		20		0.16002560409665545%
加大		20		0.16002560409665545%
产业		20		0.16002560409665545%
合作		20		0.16002560409665545%
多		19		0.1520243238918227%
领域		19		0.1520243238918227%
文化		19		0.1520243238918227%
今年		18		0.14402304368698993%
取得		18		0.14402304368698993%
生态		18		0.14402304368698993%
体系		18		0.14402304368698993%
监管		18		0.14402304368698993%
民族		18		0.14402304368698993%
社会主义		17		0.13602176348215717%
人		17		0.13602176348215717%
以上		17		0.13602176348215717%
保障		17		0.13602176348215717%
问题		17		0.13602176348215717%
供给		17		0.13602176348215717%
积极		17		0.13602176348215717%
项目		17		0.13602176348215717%
风险		17		0.13602176348215717%
治理		17		0.13602176348215717%
个		16		0.12802048327732438%
特色		16		0.12802048327732438%
落实		16		0.12802048327732438%
来		16		0.12802048327732438%
科技		16		0.12802048327732438%
环境		16		0.12802048327732438%
与		16		0.12802048327732438%
着力		16		0.12802048327732438%
管理		16		0.12802048327732438%
力度		16		0.12802048327732438%
坚决		16		0.12802048327732438%
全国		15		0.1200192030724916%
代表		15		0.1200192030724916%
向		15		0.1200192030724916%
中		15		0.1200192030724916%
收入		15		0.1200192030724916%
水平		15		0.1200192030724916%
持续		15		0.1200192030724916%
降低		15		0.1200192030724916%
安全		15		0.1200192030724916%
人员		15		0.1200192030724916%
保护		15		0.1200192030724916%
好		15		0.1200192030724916%
！		15		0.1200192030724916%
